q0 (),q1,q2,q3
9.984455456533947171e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.573591629187397978e-02
9.984014715543284568e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.651992213504369866e-02
9.983567809482916111e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.730390854527100952e-02
9.983114739162258777e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.808787349535672606e-02
9.982655505352060477e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.887181511251272231e-02
9.982190108787558636e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.965573166292025692e-02
9.981718550171425619e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.043962153783274949e-02
9.981240830176529855e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.122348324106848677e-02
9.980756949448492676e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.200731537775430735e-02
9.980266908608080856e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.279111664419512184e-02
9.979770708253431488e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.357488581875667122e-02
9.979268348962108126e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.435862175366023619e-02
9.978759831293021465e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.514232336759805120e-02
9.978245155788201259e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.592598963908724574e-02
9.977724322974442783e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.670961960048868433e-02
9.977197333364833387e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.749321233262399466e-02
9.976664187460151378e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.827676695993105394e-02
