ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.466399905497527456e+01,3.157076450718959038e+00,0.000000000000000000e+00
1.465902184310049705e+01,3.180106696873944205e+00,0.000000000000000000e+00
1.465400846144665792e+01,3.203129096969047573e+00,0.000000000000000000e+00
1.464895892239300856e+01,3.226143594144917692e+00,0.000000000000000000e+00
1.464387323840716348e+01,3.249150131567101418e+00,0.000000000000000000e+00
1.463875142204515534e+01,3.272148652425644677e+00,0.000000000000000000e+00
1.463359348595146692e+01,3.295139099934746518e+00,0.000000000000000000e+00
1.462839944285907379e+01,3.318121417332457135e+00,0.000000000000000000e+00
1.462316930558945494e+01,3.341095547880428729e+00,0.000000000000000000e+00
1.461790308705263008e+01,3.364061434863697020e+00,0.000000000000000000e+00
1.461260080024716501e+01,3.387019021590504941e+00,0.000000000000000000e+00
1.460726245826019110e+01,3.409968251392150762e+00,0.000000000000000000e+00
1.460188807426740354e+01,3.432909067622875288e+00,0.000000000000000000e+00
1.459647766153307558e+01,3.455841413659764161e+00,0.000000000000000000e+00
1.459103123341004782e+01,3.478765232902681692e+00,0.000000000000000000e+00
1.458554880333973358e+01,3.501680468774220678e+00,0.000000000000000000e+00
1.458003038485211000e+01,3.524587064719672203e+00,0.000000000000000000e+00
1.457447599156570561e+01,3.547484964207013647e+00,0.000000000000000000e+00
1.456888563718759499e+01,3.570374110726911798e+00,0.000000000000000000e+00
1.456325933551338458e+01,3.593254447792736173e+00,0.000000000000000000e+00
1.455759710042718780e+01,3.616125918940590989e+00,0.000000000000000000e+00
1.455189894590162325e+01,3.638988467729350695e+00,0.000000000000000000e+00
1.454616488599778457e+01,3.661842037740713707e+00,0.000000000000000000e+00
1.454039493486522083e+01,3.684686572579256136e+00,0.000000000000000000e+00
1.453458910674191351e+01,3.707522015872501964e+00,0.000000000000000000e+00
1.452874741595426045e+01,3.730348311270994088e+00,0.000000000000000000e+00
1.452286987691704567e+01,3.753165402448376486e+00,0.000000000000000000e+00
1.451695650413340388e+01,3.775973233101478588e+00,0.000000000000000000e+00
1.451100731219481332e+01,3.798771746950408534e+00,0.000000000000000000e+00
1.450502231578104961e+01,3.821560887738643775e+00,0.000000000000000000e+00
1.449900152966016442e+01,3.844340599233141198e+00,0.000000000000000000e+00
1.449294496868845705e+01,3.867110825224428616e+00,0.000000000000000000e+00
1.448685264781043891e+01,3.889871509526725113e+00,0.000000000000000000e+00
1.448072458205880153e+01,3.912622595978038742e+00,0.000000000000000000e+00
1.447456078655439526e+01,3.935364028440292206e+00,0.000000000000000000e+00
1.446836127650617776e+01,3.958095750799430323e+00,0.000000000000000000e+00
1.446212606721119798e+01,3.980817706965539493e+00,0.000000000000000000e+00
1.445585517405454823e+01,4.003529840872968926e+00,0.000000000000000000e+00
1.444954861250934286e+01,4.026232096480451439e+00,0.000000000000000000e+00
